iter	Passed	Remaining
934	1844	128
935	1846	126
936	1848	124
937	1849	122
938	1851	120
939	1852	118
940	1853	116
941	1855	114
942	1856	112
943	1858	110
944	1861	108
945	1862	106
946	1863	104
947	1865	102
948	1866	100
949	1867	98
950	1869	96
951	1870	94
952	1873	92
953	1874	90
954	1876	88
955	1877	86
956	1878	84
957	1879	82
958	1881	80
959	1882	78
960	1884	76
961	1887	74
962	1888	72
963	1889	70
964	1891	68
965	1892	66
966	1893	64
967	1895	62
968	1896	60
969	1898	58
970	1901	56
971	1902	54
972	1903	52
973	1905	50
974	1906	48
975	1907	46
976	1909	44
977	1911	42
978	1914	41
979	1915	39
980	1917	37
981	1918	35
982	1919	33
983	1921	31
984	1922	29
985	1924	27
986	1927	25
987	1928	23
988	1930	21
989	1931	19
990	1932	17
991	1934	15
992	1935	13
993	1937	11
994	1940	9
995	1941	7
996	1942	5
997	1944	3
998	1945	1
999	1946	0
